question_id,is_correct,unique_answer_count
0,True,2
1,True,3
2,True,2
3,True,2
4,True,2
5,True,2
6,False,3
7,True,2
8,True,2
9,True,1
10,True,2
11,True,2
12,True,3
13,True,3
14,True,2
15,True,2
16,False,2
17,True,2
18,True,4
19,True,1
20,True,2
21,True,3
22,True,3
23,True,2
24,False,3
25,True,2
26,True,2
27,False,4
28,False,3
29,True,1
30,False,3
31,True,2
32,True,3
33,True,2
34,False,3
35,True,2
36,True,3
37,True,2
38,True,2
39,False,3
40,True,2
41,True,3
42,False,4
43,True,2
44,True,2
45,False,4
46,False,2
47,True,3
48,True,2
49,True,1
50,True,2
51,False,2
52,False,4
53,True,3
54,False,3
55,True,1
56,False,2
57,True,4
58,True,3
59,False,4
60,True,2
61,False,2
62,True,2
63,True,1
64,True,2
65,False,4
66,True,2
67,True,3
68,True,3
69,False,2
70,True,3
71,True,2
72,True,2
73,True,2
74,True,1
75,False,3
76,False,3
77,True,2
78,False,3
79,False,4
80,True,2
81,True,2
82,False,4
83,True,2
84,False,3
85,True,2
86,True,3
87,True,3
88,False,4
89,True,2
90,False,3
91,True,2
92,True,3
93,False,3
94,False,3
95,True,2
96,True,3
97,False,3
98,True,3
99,False,2
100,False,3
101,False,3
102,False,3
103,True,2
104,True,4
105,True,2
106,True,2
107,True,4
108,False,3
109,True,3
110,True,2
111,False,4
112,True,3
113,True,3
114,False,3
115,True,3
116,True,3
117,True,2
118,True,2
119,False,3
120,True,3
121,False,4
122,False,2
123,False,2
124,False,3
125,False,3
126,False,3
127,True,4
128,True,2
129,True,3
130,True,2
131,True,3
132,True,3
133,True,3
134,False,2
135,False,3
136,True,1
137,True,2
138,False,2
139,True,3
140,False,2
141,True,2
142,True,1
143,False,3
144,True,4
145,False,4
146,True,2
147,False,4
148,True,3
149,False,3
150,False,3
151,True,3
152,False,2
153,True,2
154,False,2
155,False,2
156,False,3
157,True,2
158,True,2
159,True,3
160,True,2
161,False,3
162,True,2
163,True,2
164,True,1
165,True,2
166,True,3
167,False,3
168,False,4
169,True,4
170,True,2
171,True,3
172,True,3
173,False,3
174,True,2
175,True,2
176,True,3
177,False,3
178,True,2
179,True,3
180,True,3
181,True,3
182,True,3
183,True,4
184,True,2
185,False,3
186,True,2
187,True,2
188,False,3
189,True,2
190,True,2
191,True,1
192,False,3
193,False,3
194,True,2
195,False,3
196,True,2
197,True,4
198,True,2
199,True,3
200,False,3
201,False,3
202,True,1
203,True,2
204,True,1
205,True,3
206,False,2
207,False,3
208,False,3
209,True,2
210,False,3
211,True,2
212,False,2
213,True,2
214,False,4
215,True,2
216,False,2
217,True,1
218,False,3
219,False,4
220,True,2
221,True,2
222,True,3
223,True,3
224,True,3
225,False,4
226,True,2
227,False,2
228,True,2
229,True,3
230,False,4
231,True,3
232,True,3
233,True,2
234,False,3
235,True,3
236,True,1
237,True,2
238,True,2
239,True,3
240,False,3
241,True,2
242,True,2
243,True,3
244,True,2
245,True,2
246,False,3
247,False,4
248,False,4
249,True,2
250,False,3
251,False,3
252,True,3
253,True,1
254,False,3
255,False,3
256,True,3
257,True,2
258,True,1
259,False,2
260,True,2
261,True,3
262,False,2
263,True,2
264,False,3
265,True,2
266,True,2
267,True,2
268,True,1
269,True,2
270,True,3
271,False,2
272,False,3
273,True,2
274,False,4
275,False,3
276,True,2
277,True,1
278,False,3
279,True,2
280,True,3
281,True,2
282,False,4
283,True,4
284,False,3
285,True,2
286,True,3
287,False,2
288,False,3
289,False,2
290,False,2
291,True,2
292,False,4
293,False,3
294,True,1
295,False,3
296,True,4
297,True,3
298,False,4
299,False,2
300,False,2
301,False,3
302,True,3
303,True,3
304,False,3
305,True,2
306,True,2
307,True,2
308,False,4
309,False,2
310,False,3
311,True,1
312,True,2
313,False,3
314,True,2
315,True,2
316,True,1
317,True,1
318,True,1
319,True,2
320,True,3
321,True,1
322,False,3
323,False,3
324,True,3
325,False,3
326,True,3
327,False,3
328,False,4
329,False,4
330,False,4
331,True,4
332,True,2
333,True,2
334,True,4
335,False,3
336,False,3
337,True,2
338,True,3
339,False,3
340,False,2
341,False,3
342,True,2
343,True,4
344,True,1
345,False,3
346,False,3
347,True,3
348,True,3
349,False,3
350,True,4
351,False,3
352,True,2
353,False,2
354,True,2
355,True,2
356,False,4
357,True,2
358,False,3
359,True,2
360,False,4
361,False,4
362,False,3
363,True,1
364,False,3
365,True,1
366,True,3
367,False,2
368,False,3
369,True,2
370,True,2
371,True,2
372,True,1
373,True,3
374,True,2
375,False,3
376,False,4
377,True,3
378,False,2
379,False,2
380,True,2
381,True,3
382,True,3
383,True,1
384,True,2
385,False,3
386,True,3
387,False,4
388,True,2
389,False,2
390,False,2
391,True,3
392,True,2
393,True,4
394,True,4
395,True,3
396,False,3
397,False,2
398,True,2
399,False,3
400,True,2
401,True,3
402,True,2
403,False,3
404,True,1
405,False,3
406,True,1
407,True,3
408,True,4
409,True,3
410,True,1
411,False,3
412,True,2
413,True,3
414,False,3
415,False,3
416,False,3
417,True,3
418,True,2
419,True,1
420,False,3
421,True,3
422,False,3
423,False,2
424,False,2
425,False,3
426,True,3
427,True,2
428,True,4
429,False,3
430,True,2
431,False,4
432,False,3
433,True,3
434,False,4
435,False,2
436,True,2
437,False,2
438,False,3
439,True,4
440,True,3
441,False,3
442,False,4
443,True,1
444,False,3
445,True,3
446,True,1
447,False,4
448,True,2
449,False,2
450,False,2
451,False,4
452,False,3
453,False,3
454,True,2
455,False,3
456,True,2
457,True,2
458,True,3
459,True,4
460,True,3
461,False,3
462,False,3
463,False,2
464,True,2
465,True,2
466,True,3
467,False,3
468,True,2
469,False,3
470,True,2
471,True,2
472,False,3
473,True,2
474,False,3
475,True,1
476,True,2
477,True,1
478,True,2
479,False,3
480,False,2
481,False,3
482,False,3
